
----- Run Fri Aug 12 10:37:53 2022-----
0.1250     3487660     3487141     3485347     3484990     3484879     3485484
0.1875     3457828     3457542     3452772     3452717     3451774     3452799
0.2500     3400963     3400770     3401642     3392302     3390656     3391761
0.3125     3310826     3310829     3311839     3298414     3295580     3296858
0.3750     3183476     3183488     3184849     3166917     3162947     3164582
0.4375     3040384     3018208     3019286     3020158     3015238     2993315
0.5000     2841694     2814247     2816435     2816819     2811605     2785224
0.5625     2609011     2578654     2580163     2581080     2574664     2544862
0.6250     2348266     2349278     2316650     2317372     2310639     2312528
0.6875     2067338     2067991     2033964     2034602     2027636     1992954
0.7500     1775496     1739033     1741502     1742292     1735070     1699903
0.8125     1482773     1447868     1449332     1450102     1443021     1408610
0.8750     1199257     1200254     1167510     1169282     1161533     1162278
0.9375      934400      935008      905368      906471      899916      901234
1.0000      696365      697264      670880      671940      666109      667481
1.0625      491452      492003      470103      471055      466120      467677
1.1250      323673      324406      306761      307908      303620      305161
1.1875      194465      195079      181984      182994      179678      181236
1.2500      102595      103398      103293       95250       92700       94041
1.3125       44246       45070       44655       40529       38528       40345
1.3750       13277       14015       13464       14701       13032       12669
1.4375        2360        2452        1701        2882        1592        3111
1.5000           3         703           0         987           0        1829
1.5625         940        1527         908        1225        1495        2607
1.6250       10176        7560       10020        7240       12637       10060
1.6875       37236       31080       36873       31666       42834       39796
1.7500       90431       84877       89789       84538      100176       97309
1.8125      176253      171476      175282      170543      190871      188194
1.8750      298941      293965      297613      292830      318820      316184
1.9375      460180      454869      458490      453166      485342      482041
2.0000      658983      654307      656954      652394      689086      686451
2.0625      891764      887007      889441      884205      926124      924122
2.1250     1152584     1147648     1116174     1144966     1190220     1185816
2.1875     1433563     1428267     1394959     1425868     1473269     1469337
2.2500     1725422     1720997     1685931     1681300     1729098     1762004
2.3125     1981846     2013014     1979119     1975239     2021754     2055036
2.3750     2267009     2296489     2264403     2259346     2305048     2336817
2.4375     2534608     2562404     2532208     2527577     2569545     2597431
2.5000     2776291     2799571     2774168     2769523     2807105     2804515
2.5625     2985505     2980699     2983709     2979124     3011462     3009034
2.6250     3157940     3153093     3156501     3151728     3178643     3176127
2.6875     3291836     3287172     3290759     3285917     3307251     3304209
2.7500     3388102     3383110     3387365     3382505     3398561     3395240
2.8125     3450250     3444926     3449810     3444825     3456429     3452891
2.8750     3484159     3478892     3483950     3478782     3487030     3483222
2.9375     3497659     3492524     3497600     3492534     3498422     3494758
3.0000     3499997     3495060     3499973     3494960     3499998     3496607
3.0625     3499420     3494905     3499443     3495143     3499006     3496250
3.1250     3491722     3490272     3491857     3490153     3489562     3490071
3.1875     3467309     3467686     3467642     3468400     3462153     3464280
3.2500     3417688     3418834     3418292     3419456     3408493     3410374
3.3125     3336117     3336775     3337047     3338139     3322122     3324030
3.3750     3218066     3218480     3219350     3220137     3198837     3200379
3.4375     3061526     3062510     3063173     3064341     3036997     3039036
3.5000     2867160     2868116     2895385     2870414     2837629     2838856
3.5625     2638245     2638237     2670833     2641899     2604358     2605699
3.6250     2414012     2381239     2416515     2418171     2377080     2345167
3.6875     2137191     2102369     2139864     2141114     2097874     2063633
3.7500     1847103     1811790     1849854     1850792     1806725     1771516
3.8125     1553656     1554335     1556391     1557685     1513611     1515827
3.8750     1266989     1267619     1269614     1270558     1228651     1231135
3.9375      996771      997172      999201      999516      961397      962904
4.0000      751537      752516      753699      755464      720176      722047
4.0625      538088      538594      539926      540947      511510      512831
4.1250      361024      361439      382599      363499      339672      341050
4.1875      237641      223140      238806      240059      220937      222627
4.2500      132315      133262      133132      134462      120682      122486
4.3125       62204       63105       62712       63911       55047       57017
4.3750       21983       22749       22244       23509       18400       20515
